Crash ID,Participant ID,Participant Type Code,Participant Hit & Run Flag,Public Employee Flag,Sex,Age,Driver License Status,Driver Residence Status,Injury Severity,Participant Safety Equipment Use Code,Airbag Deployment,Non-Motorist Movement Code,Non-Motorist Travel Direction From,Non-Motorist Travel Direction To,Non-Motorist Location,Participant Action,Participant Error 1 Code,Participant Error 2 Code,Participant Error 3 Code,Participant Cause 1 Code,Participant Cause 2 Code,Participant Cause 3 Code,Participant Event 1 Code,Participant Event 2 Code,Participant Event 3 Code,BAC Test Results Code,Alcohol Use Reported,Drug Use Reported,Participant Marijuana Use Reported,Participant Striker Flag
1830046,3925686.0,25.0,3.0,1.0,3.0,2.0,0.0,,,,,17.0,81.0,,,10.0,,,,,,16.0,1.0,,0.0,,,,,
1830165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830165,3925984.0,26.0,1.0,2.0,9.0,2.0,1.0,,,,,17.0,81.0,,,26.0,,,,,,86.0,0.0,0.0,0.0,,,,,
1830165,3925985.0,24.0,,,3.0,2.0,1.0,,,,,0.0,0.0,,,0.0,,,,,,,,,0.0,,,,,
1830217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830217,3926096.0,32.0,1.0,3.0,9.0,2.0,0.0,,,,,0.0,79.0,80.0,28.0,5.0,2.0,,,,,86.0,0.0,0.0,0.0,,,,,
1830217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830217,3926097.0,51.0,1.0,1.0,4.0,2.0,,,,,,0.0,0.0,,,0.0,,,,,,86.0,0.0,0.0,0.0,,,,,
1830243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830243,3926163.0,18.0,0.0,2.0,9.0,2.0,0.0,,,,,38.0,16.0,42.0,,27.0,29.0,,,,,,0.0,0.0,0.0,,,,,
1830243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830243,3926164.0,46.0,1.0,2.0,4.0,2.0,0.0,,,,,0.0,0.0,,,0.0,,,,,,,0.0,0.0,0.0,,,,,
1830243,3926165.0,14.0,,,4.0,2.0,0.0,,,,,0.0,0.0,,,0.0,,,,,,,,,0.0,,,,,
1831161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1831161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1831161,3928361.0,47.0,1.0,1.0,3.0,2.0,1.0,,,,,28.0,26.0,,,17.0,29.0,,,,,,0.0,0.0,0.0,,,,,
